Total Lengths per Chromosome:
Chromosome: PYGN01006491.1, Total Length: 12493
Chromosome: PYGN01020065.1, Total Length: 1078
Chromosome: PYGN01016256.1, Total Length: 5220
Chromosome: PYGN01015399.1, Total Length: 3357
Chromosome: PYGN01009356.1, Total Length: 4864
Chromosome: PYGN01008632.1, Total Length: 6014
Chromosome: PYGN01007275.1, Total Length: 13140
Chromosome: PYGN01024807.1, Total Length: 2344
Chromosome: PYGN01003151.1, Total Length: 30686
Chromosome: PYGN01008258.1, Total Length: 10925
Chromosome: PYGN01005871.1, Total Length: 9091
Chromosome: PYGN01000182.1, Total Length: 1653339
Chromosome: PYGN01007076.1, Total Length: 9551
Chromosome: PYGN01015184.1, Total Length: 3377
Chromosome: PYGN01001919.1, Total Length: 261710
Chromosome: PYGN01000853.1, Total Length: 786333
Chromosome: PYGN01008105.1, Total Length: 9418
Chromosome: PYGN01018603.1, Total Length: 1255
Chromosome: PYGN01016441.1, Total Length: 4974
Chromosome: PYGN01016272.1, Total Length: 3838
Chromosome: PYGN01017970.1, Total Length: 1359
Chromosome: PYGN01017175.1, Total Length: 11816
Chromosome: PYGN01017650.1, Total Length: 8392
Chromosome: PYGN01000331.1, Total Length: 933044
Chromosome: PYGN01000662.1, Total Length: 576168
Chromosome: PYGN01017818.1, Total Length: 2233
Chromosome: PYGN01014330.1, Total Length: 1302
Chromosome: PYGN01000384.1, Total Length: 1233814
Chromosome: PYGN01023212.1, Total Length: 1553
Chromosome: PYGN01001360.1, Total Length: 263596
Chromosome: PYGN01000570.1, Total Length: 586318
Chromosome: PYGN01007138.1, Total Length: 13147
Chromosome: PYGN01016943.1, Total Length: 3619
Chromosome: PYGN01019900.1, Total Length: 1065
Chromosome: PYGN01009349.1, Total Length: 6126
Chromosome: PYGN01008032.1, Total Length: 8298
Chromosome: PYGN01000809.1, Total Length: 612864
Chromosome: PYGN01011196.1, Total Length: 8574
Chromosome: PYGN01014341.1, Total Length: 3623
Chromosome: PYGN01024665.1, Total Length: 4965
Chromosome: PYGN01002037.1, Total Length: 17290
Chromosome: PYGN01009357.1, Total Length: 4453
Chromosome: PYGN01005628.1, Total Length: 13454
Chromosome: PYGN01018968.1, Total Length: 5587
Chromosome: PYGN01022289.1, Total Length: 1122
Chromosome: PYGN01006117.1, Total Length: 7975
Chromosome: PYGN01010047.1, Total Length: 3110
Chromosome: PYGN01007288.1, Total Length: 9424
Chromosome: PYGN01017299.1, Total Length: 3365
Chromosome: PYGN01024079.1, Total Length: 1038
Chromosome: PYGN01023843.1, Total Length: 1268
Chromosome: PYGN01000276.1, Total Length: 919247
Chromosome: PYGN01022810.1, Total Length: 1971
Chromosome: PYGN01004636.1, Total Length: 14805
Chromosome: PYGN01021034.1, Total Length: 1535
Chromosome: PYGN01010805.1, Total Length: 12102
Chromosome: PYGN01017420.1, Total Length: 3799
Chromosome: PYGN01017234.1, Total Length: 5409
Chromosome: PYGN01011831.1, Total Length: 5469
Chromosome: PYGN01023472.1, Total Length: 1220
Chromosome: PYGN01004962.1, Total Length: 15904
Chromosome: PYGN01024775.1, Total Length: 3586
Chromosome: PYGN01018839.1, Total Length: 1567
Chromosome: PYGN01001587.1, Total Length: 270687
Chromosome: PYGN01019938.1, Total Length: 1050
Chromosome: PYGN01006006.1, Total Length: 15764
Chromosome: PYGN01005375.1, Total Length: 16341
Chromosome: PYGN01010470.1, Total Length: 11838
Chromosome: PYGN01007081.1, Total Length: 11756
Chromosome: PYGN01019887.1, Total Length: 1368
Chromosome: PYGN01017748.1, Total Length: 2137
Chromosome: PYGN01011160.1, Total Length: 6930
Chromosome: PYGN01007881.1, Total Length: 10637
Chromosome: PYGN01022936.1, Total Length: 1545
Chromosome: PYGN01002987.1, Total Length: 39297
Chromosome: PYGN01015130.1, Total Length: 3447
Chromosome: PYGN01016455.1, Total Length: 8840
Chromosome: PYGN01004071.1, Total Length: 26824
Chromosome: PYGN01000806.1, Total Length: 590572
Chromosome: PYGN01019000.1, Total Length: 1335
Chromosome: PYGN01009010.1, Total Length: 6080
Chromosome: PYGN01002004.1, Total Length: 248307
Chromosome: PYGN01002178.1, Total Length: 108695
Chromosome: PYGN01016532.1, Total Length: 3231
Chromosome: PYGN01014762.1, Total Length: 4913
Chromosome: PYGN01017909.1, Total Length: 1082
Chromosome: PYGN01005914.1, Total Length: 10774
Chromosome: PYGN01003329.1, Total Length: 28944
Chromosome: PYGN01003400.1, Total Length: 27152
Chromosome: PYGN01001090.1, Total Length: 785324
Chromosome: PYGN01012965.1, Total Length: 6813
Chromosome: PYGN01005662.1, Total Length: 11516
Chromosome: PYGN01023000.1, Total Length: 1456
Chromosome: PYGN01007747.1, Total Length: 6548
Chromosome: PYGN01018301.1, Total Length: 1320
Chromosome: PYGN01020372.1, Total Length: 1306
Chromosome: PYGN01008039.1, Total Length: 11402
Chromosome: PYGN01009762.1, Total Length: 3448
Chromosome: PYGN01004599.1, Total Length: 25157
Chromosome: PYGN01010843.1, Total Length: 6665
Chromosome: PYGN01001524.1, Total Length: 62614
Chromosome: PYGN01003392.1, Total Length: 20600
Chromosome: PYGN01004280.1, Total Length: 18267
Chromosome: PYGN01008977.1, Total Length: 3855
Chromosome: PYGN01022993.1, Total Length: 1043
Chromosome: PYGN01024521.1, Total Length: 1292
Chromosome: PYGN01015544.1, Total Length: 1192
Chromosome: PYGN01013894.1, Total Length: 3676
Chromosome: PYGN01022975.1, Total Length: 1278
Chromosome: PYGN01006992.1, Total Length: 10170
Chromosome: PYGN01010723.1, Total Length: 11351
Chromosome: PYGN01003092.1, Total Length: 51657
Chromosome: PYGN01023748.1, Total Length: 1054
Chromosome: PYGN01020383.1, Total Length: 1982
Chromosome: PYGN01000606.1, Total Length: 798004
Chromosome: PYGN01012807.1, Total Length: 1265
Chromosome: PYGN01003812.1, Total Length: 12487
Chromosome: PYGN01015540.1, Total Length: 5873
Chromosome: PYGN01012839.1, Total Length: 3287
Chromosome: PYGN01012312.1, Total Length: 3673
